Colonne1;mot en français;mot traduit en créole guyanais
mot;(Cancans) faire des …;"Bat-djòl, bay lang, bay lanng, bay kout lang, bay
kout lanng"
mot;Caniveau;Dalo
mot;Canne de pêche;Batonzen, baton-zen, baton-lign
mot;Cannot;Kannon, kannòt
mot;Cannot amérindien;Kouyara
mot;Carte bancaire;Kart-labank
mot;Cartilagineux;Kroum-kroum
mot;Cas où (pour le, au …);Dé fwè ki
mot;Cash (payer…);Kòtòk
mot;Cataplasme;Katanplanm, kataplanm
mot;Catégorie de personnes;"Konpanyen, bannélo, ran (sa ran yan = sa moun
yan)"
mot;Ce n’est pas flatteur !;Sa pa flatò, flatèr
mot;Ceci dit;Atò
mot;Ceinture;Sentir, sentou
mot;Celui-ci est;Sa oun, sa roun
mot;Cependant;Atò
mot;Certain;Sir é sèrten, asiré
mot;Certain, sûr;Asiré pa pitèt
mot;Ceux parmi qui …;Sa di zòt ki …
mot;Chaise à bascule (rocking-chair);Bélina
mot;Chaleur;Chalò, chalèr
mot;Change (petite monnaie);Ti lanmonnen
mot;Chansonnette;Ti lorizon
mot;Charabia;Kingéyanga
mot;Chatouyer;Chatrouyen
mot;Chaudière;Choudjè, Chòdjè
mot;Chaussure à semelle en bois;Sabo-borga
mot;Chenal;Sinal
mot;Cher (mon);Chè
mot;Chercher des histoires;Sasé chikann, sasé tren, sasè trè
mot;Chez moi;A mo dégra
mot;Chirurgien;Sourjen, sourijen
mot;Chose;Kichoz, bagaj, bèt
mot;Citrouille;Soutriy
mot;Clin d’oeil;Bat-wéy, kasé-wéy
mot;Clique, accolite;Bannélo
mot;Coffre-fort;Kòfò
mot;Coiffe de la femme Créole;Roun lachat
mot;Coincer;Fyon
mot;Combat;Tchòk, briga, bigas, garoulé
mot;Comme;Kou
mot;Comme ça;Konran, konsa
mot;Comme il faut;Kou li divèt, kòmifo
mot;Comme si on dirait;Kousandiré, konsidiré
mot;Compris !;Tandé
mot;Concerner (en ce qui);So pa
mot;Concubinage;Konjonkò, konjòkò
mot;Conséquences, Suite;Réfren an
