Colonne1	mot en fran‡ais	mot traduit en cr‚ole guyanais
mot	(Cancans) faire des ?	"Bat-dj•l, bay lang, bay lanng, bay kout lang, bay
kout lanng"
mot	Caniveau	Dalo
mot	Canne de pˆche	Batonzen, baton-zen, baton-lign
mot	Cannot	Kannon, kann•t
mot	Cannot am‚rindien	Kouyara
mot	Carte bancaire	Kart-labank
mot	Cartilagineux	Kroum-kroum
mot	Cas o— (pour le, au ?)	D‚ fwŠ ki
mot	Cash (payer?)	K•t•k
mot	Cataplasme	Katanplanm, kataplanm
mot	Cat‚gorie de personnes	"Konpanyen, bann‚lo, ran (sa ran yan = sa moun
yan)"
mot	Ce n?est pas flatteur !	Sa pa flat•, flatŠr
mot	Ceci dit	At•
mot	Ceinture	Sentir, sentou
mot	Celui-ci est	Sa oun, sa roun
mot	Cependant	At•
mot	Certain	Sir ‚ sŠrten, asir‚
mot	Certain, s–r	Asir‚ pa pitŠt
mot	Ceux parmi qui ?	Sa di z•t ki ?
mot	Chaise … bascule (rocking-chair)	B‚lina
mot	Chaleur	Chal•, chalŠr
mot	Change (petite monnaie)	Ti lanmonnen
mot	Chansonnette	Ti lorizon
mot	Charabia	King‚yanga
mot	Chatouyer	Chatrouyen
mot	ChaudiŠre	ChoudjŠ, Ch•djŠ
mot	Chaussure … semelle en bois	Sabo-borga
mot	Chenal	Sinal
mot	Cher (mon)	ChŠ
mot	Chercher des histoires	Sas‚ chikann, sas‚ tren, sasŠ trŠ
mot	Chez moi	A mo d‚gra
mot	Chirurgien	Sourjen, sourijen
mot	Chose	Kichoz, bagaj, bŠt
mot	Citrouille	Soutriy
mot	Clin d?oeil	Bat-w‚y, kas‚-w‚y
mot	Clique, accolite	Bann‚lo
mot	Coffre-fort	K•f•
mot	Coiffe de la femme Cr‚ole	Roun lachat
mot	Coincer	Fyon
mot	Combat	Tch•k, briga, bigas, garoul‚
mot	Comme	Kou
mot	Comme ‡a	Konran, konsa
mot	Comme il faut	Kou li divŠt, k•mifo
mot	Comme si on dirait	Kousandir‚, konsidir‚
mot	Compris !	Tand‚
mot	Concerner (en ce qui)	So pa
mot	Concubinage	Konjonk•, konj•k•
mot	Cons‚quences, Suite	R‚fren an
