désignation,français,traduction en créole guyanais
mot,À cause de,Pou rézon ki
mot,"À ce moment-là, alors",Lò-la
mot,À l’envers,"Divan-dèyè, lanvè-landrèt"
mot,"À présent, de nos jours","Atchwèlman, jòdla"
mot,Abasourdi,"Ababa, stébékwé"
mot,Abeille,Mouch-myèl
mot,Abords de l’habitation,Lantouraj kaz
mot,Abris,"Ajoupa, Latcho-oko"
mot,Abruti,"Kòkòdò, Tèbè"
mot,Accélérer,"Pézé, pitché"
mot,Accélérer (quelqu’un),Zizi galopant (bay zizi galopant)
mot,Accent,"Laksan, aksan"
mot,"Accord (d’un commun …), conjointement",Ansanm-ansanm
mot,Acheteur,Achtò / achtèr
mot,Acre,Rak
mot,Affaire compliquée,"Chyen-maré, batmanman"
mot,Âgé,Granmoun
mot,"Agréable, Bon goût","Chwit, Koupé dwèt"
mot,Aiguiser,Filé
mot,Ainsi,"Konran, konsa"
mot,Aller,"Alé, pati"
mot,"Aller (s’en…), partir","Do, pati, dékòsté"
mot,Aller voir pour …..,Joujé…..
mot,Ailleurs,"Ròt bò, ròt koté, ayò (vieilli)"
mot,Allonger,Bay chenn
mot,"Amadouer, Endormir la vigilance","Amòrfrézé, amòrfozé, anmòrfozé"
mot,"Ample, flottant",Badja
mot,Amuser,Anmizé
mot,Animal,"Zannimo, bèt"
mot,Apparemment,"I sanblé, konsidiré"
mot,Apporter son concours,"Bay chenn, lavwa, lanmen, andan"
mot,Appuyer,Pézé
mot,Araignée,"Arengnen, zagriyen, zagrignen"
mot,Arbalète,"Labalèt, larbalèt"
mot,Argent,"Soumaké, lajan, plon"
mot,"Argent, Monnaie","Lanmonnen, soumaké"
mot,Armoire,Lèrmwè
mot,Arracher,Raché
mot,Arriéré,Nèg komanbo
mot,Arriver en grand nombre,Dévidé
mot,Arrogant,Gran larjò
mot,Assiette,"Zasyèt, plat-manjé"
mot,Assurer,"Asouré, asiré"
mot,Attacher,Maré
mot,Autres (les),"Ròt ya, wòt ya"
mot,Autrui,Otri (vieilli)
mot,Avare,Variché
mot,Avec,"Ké, ansanm ké"
mot,Aveugler,Vèrglé
mot,Baffe,"Babòtchèt, babotchèt, palaviré"
mot,Bagne,Bangn
mot,Bagarreur,Baroufyè
mot,Bajoue,Bajòl
mot,Balançoir,Balansin
mot,Baptème,Batenm
mot,"Bâton plat aidant à laver le linge,",Batwèl
mot,"Bâton, perche aidant à naviguer",Takari
mot,Battre (se),"Briga, fè tchòk, bigas"
mot,Battre à plate couture,Renté
mot,"Bavarder, ricanner",Tchi-tchi-tchi
mot,Beaucoup,"Oun ta, roun ta, oun lo, roun lo, oun patché,
roun patché, séryé, oun jwé, si tan di,
apachachou"
mot,Beaucoup,"Soso, Toubonnman"
mot,Beauté,Bèlté
mot,Béquille,"Béki, biki"
mot,Besoin,"Bézwen, benzwen, bizwen"
mot,Bidon à laver du linge,Bay (« La pli bèl anba la bay ! »)
mot,Bien arrangé,Annòrd
mot,Bien debout,Djòk
mot,Bien sûr ! C’est ça ! (sarcasme),A ten ! Atchen !
mot,Bientôt,"Talò, Titalò, Dimen-tanto"
mot,Blague mensongère,"Darloz, darlouz"
mot,Blanc du pays,"Pòpòt, vyé blanng, Masogan"
mot,Blessure interne,Blès
mot,Boisson (alcoolique),Bwéson
mot,Boire de l’alccol,Tchivé
mot,Bon,Di vrè
mot,Bon à rien,Pandriyò
mot,Bonhomme,"Bonlonm, bolonm"
mot,Boucle d’oreille,"Zanno, pandòrè"
mot,Boucherie,Bouchouri
mot,Bouillon,"Bòryan, rèst, rabyo"
mot,Bouquet,Boutché
mot,Brasser,"Lélé, Touyé"
mot,Bricoleur,"Bouzougnè, bouzougnen"
mot,Brouiller avec…,Mal ké…
mot,"Broyer, écraser","Kayakaya, kakaya"
mot,Bruit (grand),"Boukan, dézòrd"
mot,"Bruit incompréhensible, attroupement",Bankoulélé
mot,Brutal,"Mastòk, groso, blip"
mot,Bureau,Biro
mot,C’est pas la grande forme !,"Flègèdè, kanyan-kanyan"
mot,"Cabosser, déformer","Mòtòk-mòtòk, motòk-motòk"
mot,(Cancans) faire des …,"Bat-djòl, bay lang, bay lanng, bay kout lang, bay
kout lanng"
mot,Caniveau,Dalo
mot,Canne de pêche,"Batonzen, baton-zen, baton-lign"
mot,Cannot,"Kannon, kannòt"
mot,Cannot amérindien,Kouyara
mot,Carte bancaire,Kart-labank
mot,Cartilagineux,Kroum-kroum
mot,"Cas où (pour le, au …)",Dé fwè ki
mot,Cash (payer…),Kòtòk
mot,Cataplasme,"Katanplanm, kataplanm"
mot,Catégorie de personnes,"Konpanyen, bannélo, ran (sa ran yan = sa moun
yan)"
mot,Ce n’est pas flatteur !,"Sa pa flatò, flatèr"
mot,Ceci dit,Atò
mot,Ceinture,"Sentir, sentou"
mot,Celui-ci est,"Sa oun, sa roun"
mot,Cependant,Atò
mot,Certain,"Sir é sèrten, asiré"
mot,"Certain, sûr",Asiré pa pitèt
mot,Ceux parmi qui …,Sa di zòt ki …
mot,Chaise à bascule (rocking-chair),Bélina
mot,Chaleur,"Chalò, chalèr"
mot,Change (petite monnaie),Ti lanmonnen
mot,Chansonnette,Ti lorizon
mot,Charabia,Kingéyanga
mot,Chatouyer,Chatrouyen
mot,Chaudière,"Choudjè, Chòdjè"
mot,Chaussure à semelle en bois,Sabo-borga
mot,Chenal,Sinal
mot,Cher (mon),Chè
mot,Chercher des histoires,"Sasé chikann, sasé tren, sasè trè"
mot,Chez moi,A mo dégra
mot,Chirurgien,"Sourjen, sourijen"
mot,Chose,"Kichoz, bagaj, bèt"
mot,Citrouille,Soutriy
mot,Clin d’oeil,"Bat-wéy, kasé-wéy"
mot,"Clique, accolite",Bannélo
mot,Coffre-fort,Kòfò
mot,Coiffe de la femme Créole,Roun lachat
mot,Coincer,Fyon
mot,Combat,"Tchòk, briga, bigas, garoulé"
mot,Comme,Kou
mot,Comme ça,"Konran, konsa"
mot,Comme il faut,"Kou li divèt, kòmifo"
mot,Comme si on dirait,"Kousandiré, konsidiré"
mot,Compris !,Tandé
mot,Concerner (en ce qui),So pa
mot,Concubinage,"Konjonkò, konjòkò"
mot,"Conséquences, Suite",Réfren an
mot,Conversation,Kozman
mot,"Copain, Copine","Djal, masibòl, masibò"
mot,Corbeau,"Krobo, kranmou"
mot,Cordonnier,Kondongnen
mot,Co-religionnaire,Chè-frè
mot,Costume,Konplé
mot,"Couac trempé (avec beaucoup d’eau), un encas",Chibè
mot,Coup d’oeil,Djété
mot,Courber,Kroubé
mot,Courir vite,Pézé
mot,Crème de maïs,"Angou, angou-mi, matété"
mot,Créole,"Kréyòl, kriyòl"
mot,Croyant non pratiquant,"Yogonon, yogonnon"
mot,Cuillère,"Tchwiyèr, Kouyèr, kouyè"
mot,Cuisine,Tchwizin
mot,Curieux,"Kiryé, kiryéz"
mot,D’accord (se mettre),Maché dakò
mot,Dailleurs,Dayèr
mot,Débarquer,Débaké
mot,Débauche,La banbòch
mot,Débrouiller (se),Rédi so kannon
mot,Débrouillard,"Débrouya, débouya, débriya"
mot,Débrouyer,Débriyé
mot,Début,Koumansman
mot,Décoloration de la peau,Chawawa
mot,Décrier,Vyèrj-nwè
mot,"Dedans, dans","La, andan, annan"
mot,"Dedans, Dehors","Andidan, andèrò, landan, dèrò"
mot,Dégager (chien),Mach !
mot,Dégager (poule),Chou !
mot,Déguerpir,"Digidap, Digilòp, djigilòp"
mot,Déjeûner,Doujnen
mot,Demi-heure,"Dimiyò, Dimiyèr"
mot,Demi-litre,Bòk
mot,Demi-portion,"Abèbè, Initil, Djoubatè, Tèbè, pa vayan"
mot,Denier,Dannyé
mot,Dépérir,Dédou
mot,Depuis,Dipi
mot,"Dérive, Dériver","Driv, Drivé"
mot,Dernièrement,"Dannyèman, dèrnyèrman"
mot,Derrière,Dèyè
mot,Dès le lever du soleil,"Bonnò-bonnò, bònò-bònò, o pipiri chantan"
mot,Désirer fortement une nourriture,Bouch ka fè dilo
mot,Désordre,"Djopopo, trafalga"
mot,Désordre (faire du),"Blow, tren (pété)"
mot,Désorganisé,Bankoulélé (an)
mot,Désorienté,Pédi-kap
mot,Dessert,Dèsè
mot,Dessus lui,Lasou l’
mot,Détranper,Dégobyé
mot,Devoir,"Dévé, dwé"
mot,Devoir (verbe),"Divèt, dwèt"
mot,Diamant,Djanman
mot,Diarhée,"Djidjit, kaka-dlo, kokomèrlo pran’l"
mot,Différent,Rounòt bwa
mot,Difficile,Zenk ké kròk
mot,Dîner,"Dinen, soupé"
mot,Directeur,"Dirèktò, direktèr"
mot,Discipliner,Tayé roun zazou
mot,"Dispute, violente dispute","Djopopo, garoulé (pété garoulé ké…)"
